idFechaConstruccion,sigla,nombreAeropuerto,categoria,tipo,departamento,municipio,latitud,longitud,propietario,longitudPista,anchoPista,pbmo,elevacion
2013-4,9MT,AGUAS CLARAS,Aeródromo,Fumigación,Santander,Sabana de Torres,7.2731,-73.5626,EDGAR MEZA ORTIZ,800,10,2500,652
2013-5,9MW,LAS NUBES,Aeródromo,Fumigación,Meta,Puerto Gaitán,4.2563,-71.7977,AGMO NUBES INVER.S.A.S,1000,18,4500,1030
2013-3,A01,CAMPO ALEGRE,Aeródromo,Público,Guainía,Inírida,1.8653,-69.0101,GOBERNACION,450,15,2000,577
2013-8,A02,CAÑO COLORADO,Aeródromo,Público,Guainía,Inírida,2.2774,-68.3599,GOBERNACION,1100,15,12202,413
2010-4,A03,FORTUL,Aeródromo,Público,Arauca,Fortul,6.7817,-71.7791,GOBERNACION,700,13,4000,730
2012-8,ABT,AGUA BLANCA,Aeródromo,Fumigación,Tolima,Piedras,4.4656,-74.9948,SOCIEDAD CULTIVOS SAN JOSE,680,10,2000,1994
1969-9,ACD,ALCIDES FERNANDEZ,Regional,Público,Chocó,Acandí,8.4969,-77.2739,INCORA LTDA,1200,16,2000,50
2012-5,ACI,EL MONASTERIO,Aeródromo,Fumigación,Meta,Acacías,3.9587,-73.4425,EFA LTDA.,680,10,2000,948
2007-8,ACL,AGUACLARA,Aeródromo,Público,Casanare,Sabanalarga,4.7333,-73.0583,CORREGIMIENTO,800,25,12202,1033
2011-9,ACP,ACAPULCO,Aeródromo,Fumigación,Casanare,Nunchía,5.4086,-71.8694,YOLANDA CAMACHO V.,870,10,2000,656
2008-3,ACR,ARARACUARA,Regional,Público,Caquetá,Solano,-0.6008,-72.3981,GOBERNACION,1300,30,27000,800
1968-5,ADZ,GUSTAVO ROJAS PINILLA,Internacional,Aerocivil,San Andrés islas,San Andrés,12.5837,-81.7113,AEROCIVIL,2380,36,2000,18
2013-3,AER,AEROFLANDES - C.A.,Aeródromo,Privado,Tolima,Flandes,4.2171,-74.8454,AEROFLANDES,240,10,500,1049
1972-10,AFI,EL RIO,Aeródromo,Aerocivil,Antioquia,Amalfi,6.8954,-75.0475,AEROCIVIL,970,20,3500,4831
2013-12,AGB,AGUA BLANCA,Aeródromo,Fumigación,Tolima,Espinal,4.1839,-74.8931,FARCA S.A. - COMODATO,750,10,2000,1095
1987-7,AGH,HACARITAMA,Aeródromo,Aerocivil,Cesar,Aguachica,8.2473,-73.5821,AEROCIVIL,1310,25,12202,700
2013-9,AGU,MARIA ANGELICA,Aeródromo,Fumigación,Casanare,Aguazul,5.0546,-72.4471,GERMAN ERAZO,800,15,2000,720
2013-9,ALV,EL DIAMANTE,Aeródromo,Fumigación,Tolima,Alvarado,4.5694,-74.9337,ELIAS ACOSTA Y CIA LTDA,620,10,2000,1312
1969-6,APO,ANTONIO ROLDAN BETANCOURT,Nacional,Aerocivil,Antioquia,Carepa,7.8118,-76.7164,AEROCIVIL,2180,30,2000,46
2002-9,ARO,ARBOLETES,Aeródromo,Público,Antioquia,Arboletes,8.8394,-76.43,MUNICIPIO,1100,10,6000,13
1969-9,ARQ,EL TRONCAL,Aeródromo,Aerocivil,Arauca,Arauquita,7.0211,-71.3889,AEROCIVIL,960,12,12202,509
1957-7,ATC,ATACO,Aeródromo,Público,Tolima,Ataco,3.5837,-75.3891,MUNICIPIO,800,15,4000,1519
1987-2,AUC,SANTIAGO PEREZ QUIROZ,Nacional,Aerocivil,Arauca,Arauca,7.0689,-70.737,AEROCIVIL,2100,30,2000,418
2013-12,AUR,EL CORAJE,Aeródromo,Privado,Magdalena,Ariguaní,10.0247,-74.067,CAMAGUEY S.A.,720,15,4000,282
2013-6,BAL,INGENIO RISARALDA,Aeródromo,Fumigación,Risaralda,Balboa,4.8948,-75.9044,INGENIO RISARALDA,250,10,500,3034
2012-12,BAN,BANCO LARGO,Aeródromo,Fumigación,Casanare,Nunchía,5.4631,-72.0631,JAVIER CHINCHILLA MUNAR,840,10,2000,692
2013-12,BAR,GUAICARAMO,Aeródromo,Fumigación,Meta,Barranca de Upía,4.4605,-72.9509,GUAICARAMO S.A.,800,18,5500,649
2008-12,BBA,PIZARRO,Aeródromo,Público,Chocó,Bajo Baudó,4.9608,-77.3633,MUNICIPIO,1000,10,2000,10
2008-7,BEC,BECERRIL,Aeródromo,Fumigación,Cesar,Becerril,9.6628,-73.2744,MUNICIPIO,1300,27,3500,320
1987-2,BIC,BERASTEGUI,Aeródromo,Aerocivil,Córdoba,Ciénaga de Oro,8.8845,-75.6835,AEROCIVIL,1530,20,2000,48
2013-1,BIZ,BIZERTA,Aeródromo,Fumigación,Casanare,Nunchía,5.4225,-71.9936,CELMIRA BARRAGAN F.,700,10,2000,639
1984-9,BMG,BARRANCO MINAS,Aeródromo,Público,Guainía,Barranco Minas,3.4907,-69.8097,GOBERNACION,900,15,2000,125
2012-4,BNI,BOLUGA,Aeródromo,Fumigación,Tolima,Venadillo,4.6903,-74.8894,MARGOT URIBE DE SAMPER Y CIA,640,10,3000,1092
2012-12,BNO,BUENOS AIRES,Aeródromo,Privado,Santander,Puerto Wilches,7.462,-73.7464,AGRICOLA BUFALERA DE COLOMBIA,1060,18,3500,229
2009-1,BNP,BUENOS AIRES -FADELCE,Aeródromo,Fumigación,Cesar,Pailitas,9.02,-73.6725,FADELCE LTDA,840,15,2000,82
1999-12,BOG,EL DORADO,Internacional,Aerocivil,"Bogotá, D.C.","Bogotá, D.C.",4.7017,-74.1469,AEROCIVIL,3800,60,2000,8356
1967-8,BUN,BUENAVENTURA-GERARDO TOBAR LOPEZ,Nacional,Aerocivil,Valle del Cauca,Buenaventura,3.8196,-76.9899,AEROCIVIL,1200,30,2000,44
1967-6,CIM,GUSTAVO ROJAS PINILLA,Aeródromo,Aerocivil,Santander,Cimitarra,6.3674,-73.9706,AEROCIVIL,1500,40,12202,735
1987-2,CLO,ALFONSO BONILLA ARAGON,Internacional,Aerocivil,Valle del Cauca,Palmira,3.5431,-76.3817,AEROCIVIL,3000,45,2000,3174
1987-2,COG,CONDOTO MANDINGA,Regional,Aerocivil,Chocó,Condoto,5.072,-76.6766,AEROCIVIL,1150,18,2000,166
1968-7,CPL,NAVAS PARDO,Aeródromo,Aerocivil,Tolima,Chaparral,3.7238,-75.4654,AEROCIVIL,1200,15,2000,2729
2012-11,CTG,RAFAEL NUÑEZ,Internacional,Aerocivil,Bolívar,Cartagena de Indias,10.442,-75.5123,AEROCIVIL,2380,45,2000,7
2013-4,CUC,CAMILO DAZA,Internacional,Aerocivil,Norte de Santander,San José de Cúcuta,7.9274,-72.5116,AEROCIVIL,1920,45,2000,1027
1988-7,CZU,LAS BRUJAS,Regional,Aerocivil,Sucre,Corozal,9.3325,-75.2853,AEROCIVIL,1430,22,2000,519
1974-12,EJA,YARIGUIES,Nacional,Aerocivil,Santander,Barrancabermeja,7.0244,-73.8068,AEROCIVIL,1800,45,61100,414
2010-10,EJU,EL JUNCAL,Aeródromo,Fumigación,Huila,Palermo,2.8471,-75.3133,ASOJUNCAL,620,10,2000,1509
1996-9,ELB,LAS FLORES,Aeródromo,Aerocivil,Magdalena,El Banco,9.0428,-73.9715,AEROCIVIL,1225,28,19045,110
1987-2,EYP,EL ALCARAVAN,Nacional,Aerocivil,Casanare,Yopal,5.3191,-72.3842,AEROCIVIL,2250,30,2000,1016
1987-2,FLA,GUSTAVO ARTUNDUAGA PAREDES,Nacional,Aerocivil,Caquetá,Florencia,1.589,-75.5643,AEROCIVIL,1500,30,2000,803
1960-8,GPI,JUAN CASIANO,Regional,Aerocivil,Cauca,Guapí,2.57,-77.898,AEROCIVIL,1300,16,2000,164
1987-2,GYM,FLAMINIO S. CAMACHO,Aeródromo,Aerocivil,Cundinamarca,Chía,4.8125,-74.0651,AEROCIVIL,1720,20,7000,8386
1980-10,HTZ,HATO COROZAL,Aeródromo,Aerocivil,Casanare,Hato Corozal,6.1535,-71.7616,AEROCIVIL,1040,14,12202,830
1987-2,IBE,PERALES,Nacional,Aerocivil,Tolima,Ibagué,4.4217,-75.1336,AEROCIVIL,1800,30,2000,3114
2012-8,IGO,JAIME ORTIZ BETANCUR,Aeródromo,Público,Antioquia,Chigorodó,7.6772,-76.683,MUNICIPIO,840,18,6400,170
1969-5,IPI,SAN LUIS,Internacional,Aerocivil,Nariño,Aldana,0.8619,-77.6718,AEROCIVIL,1770,28,2000,9740
1957-1,MFS,MIRAFLORES,Aeródromo,Público,Guaviare,Miraflores,1.3377,-71.9507,MUNICIPIO,1320,25,25000,730
1968-5,MGN,BARACOA,Aeródromo,Aerocivil,Bolívar,Magangué,9.2849,-74.8465,AEROCIVIL,1410,20,33112,195
1968-5,MMP,SAN BERNARDO,Aeródromo,Aerocivil,Bolívar,Mompós,9.2583,-74.4383,AEROCIVIL,1175,14,16300,72
2011-1,MQU,JOSE CELESTINO,Regional,Aerocivil,Tolima,San Sebastián de Mariquita,5.2126,-74.8837,AEROCIVIL,1790,45,2000,1531
1981-4,MTB,EL PINDO,Regional,Aerocivil,Córdoba,Montelíbano,7.9733,-75.4413,AEROCIVIL,1100,26,12202,160
1987-2,MTR,LOS GARZONES,Nacional,Aerocivil,Córdoba,Montería,8.8239,-75.8261,AEROCIVIL,1860,35,2000,19
1958-2,MVP,FABIO A. LEON BENTLEY,Regional,Aerocivil,Vaupés,Mitú,1.2535,-70.2341,MUNICIPIO,1880,30,2000,680
2004-8,NQU,REYES MURILLO,Regional,Aerocivil,Chocó,Nuquí,5.712,-77.2627,AEROCIVIL,930,10,2000,13
1990-10,NVA,BENITO SALAS,Internacional,Aerocivil,Huila,Neiva,2.9499,-75.2941,AEROCIVIL,1600,40,2000,1464
